fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Irina Alekseeva,Melissa Dixon,1,0,60 of 126,87 of 148,48 of 108,52 of 95,23 of 72,47 of 89,2 of 7,5 of 6,23 of 29,0 of 0,44 of 99,42 of 76,2 of 4,1 of 1,2 of 5,9 of 18,1 of 4,0 of 1,0,0,0,0,0:50,8:15,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/1ba282da76ca82ad
Chris Gutierrez,Alatengheili,0,0,115 of 203,39 of 134,110 of 197,38 of 133,44 of 96,25 of 108,10 of 20,10 of 21,56 of 81,3 of 4,110 of 195,38 of 130,0 of 2,0 of 2,0 of 0,0 of 1,0 of 0,2 of 4,0,0,0,0,0:08,0:51,W,Decision - Unanimous,3,5:00,Kerry Hatley,http://ufcstats.com/fight-details/a74a8c1e0a49070d
Ashley Yoder,Emily Ducote,0,0,105 of 276,119 of 213,102 of 269,117 of 210,59 of 216,69 of 145,32 of 40,29 of 40,11 of 13,19 of 25,93 of 259,117 of 209,9 of 10,0 of 1,0 of 0,0 of 0,0 of 3,1 of 1,0,0,0,0,0:09,0:03,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/85a130a4b655c8f5
Grant Dawson,Bobby Green,0,1,0 of 6,7 of 11,0 of 6,7 of 11,0 of 6,7 of 10,0 of 0,0 of 0,0 of 0,0 of 1,0 of 6,1 of 4,0 of 0,0 of 0,0 of 0,6 of 7,0 of 0,0 of 0,0,0,0,0,0:00,0:05,L,KO/TKO,1,0:33,Keith Peterson,http://ufcstats.com/fight-details/1aa4c2fa5ffaff00
Joe Pyfer,Abdul Razak Alhassan,0,0,26 of 63,11 of 28,26 of 62,11 of 28,15 of 47,4 of 15,9 of 12,2 of 3,2 of 3,5 of 10,24 of 60,11 of 27,2 of 2,0 of 1,0 of 0,0 of 0,3 of 4,0 of 0,2,1,0,0,1:07,0:08,W,Submission,2,2:05,Mark Smith,http://ufcstats.com/fight-details/e966de63c8e6b1d5
Alex Morono,Joaquin Buckley,0,0,54 of 161,77 of 186,40 of 141,68 of 176,29 of 122,41 of 134,10 of 17,24 of 36,1 of 2,3 of 6,37 of 133,55 of 141,3 of 8,2 of 9,0 of 0,11 of 26,1 of 2,2 of 4,0,0,0,0,0:13,2:21,L,Decision - Unanimous,3,5:00,Kerry Hatley,http://ufcstats.com/fight-details/eb76a5b76a68e4c4
Drew Dober,Ricky Glenn,1,0,30 of 53,5 of 22,30 of 53,5 of 22,19 of 40,2 of 15,7 of 9,3 of 7,4 of 4,0 of 0,20 of 38,5 of 22,2 of 3,0 of 0,8 of 12,0 of 0,0 of 0,0 of 1,0,0,0,0,0:31,0:00,W,KO/TKO,1,2:36,Chris Tognoni,http://ufcstats.com/fight-details/68095e551ff6bbfd
Alexander Hernandez,Bill Algeo,0,1,76 of 157,119 of 257,75 of 156,110 of 244,25 of 80,46 of 156,45 of 66,33 of 50,5 of 10,31 of 38,75 of 154,108 of 241,0 of 2,2 of 3,0 of 0,0 of 0,0 of 1,1 of 1,0,0,0,0,0:35,0:07,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/b638646fb297228d
Karolina Kowalkiewicz,Diana Belbita,0,0,155 of 283,108 of 270,141 of 267,99 of 261,94 of 203,57 of 199,42 of 58,33 of 50,5 of 6,9 of 12,123 of 244,85 of 241,17 of 21,13 of 18,1 of 2,1 of 2,1 of 6,2 of 2,0,0,1,1,2:15,0:53,W,Decision - Unanimous,3,5:00,Kerry Hatley,http://ufcstats.com/fight-details/b6a6ba08898f3b6a
Nate Maness,Mateus Mendonca,0,0,103 of 114,9 of 16,29 of 35,3 of 7,26 of 31,0 of 3,2 of 3,2 of 3,1 of 1,1 of 1,1 of 2,1 of 5,2 of 3,2 of 2,26 of 30,0 of 0,0 of 0,0 of 3,0,0,0,0,1:31,1:14,W,KO/TKO,1,4:40,Chris Tognoni,http://ufcstats.com/fight-details/eb7b0a6f06dbdb4f
Vanessa Demopoulos,Kanako Murata,0,0,86 of 144,70 of 116,31 of 65,34 of 64,21 of 49,27 of 55,10 of 13,4 of 5,0 of 3,3 of 4,10 of 36,10 of 23,7 of 10,1 of 1,14 of 19,23 of 40,0 of 1,5 of 6,0,0,1,0,0:42,10:10,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/5ee83e03aaff5fa1
